feature,importance_mean,importance_std
eqpdays,0.041833107010127546,0.004999719197798513
months,0.03839132002651752,0.0003529627672281266
change_mou,0.03221647161570601,0.002902822758130419
mou_Mean,0.024231689015010438,0.0021452968191270627
hnd_price,0.015071537199420226,0.0006696852503323969
totmrc_Mean,0.01398704869703038,0.002298978023987708
uniqsubs,0.008583326331847052,0.0006096847799286764
crclscod,0.008561006156856787,7.408058079177993e-05
avgqty,0.007149795092961986,0.00045888359764745257
avgmou,0.0062887483423555435,0.0012535298276738494
mou_cvce_Mean,0.0043197729055880485,0.00011064086742440526
drop_vce_Mean,0.004229612198728139,0.0008723268390424255
change_rev,0.003988250306450947,0.0003226425295174695
mou_peav_Mean,0.003717128180853402,0.0004120032301053178
asl_flag,0.0037057680917904068,0.00034928273837669943
mou_opkv_Mean,0.003060643034009991,0.0006425650377098746
mouowylisv_Mean,0.0029232019564718326,0.000978247669461696
refurb_new,0.0028523214007682984,3.200025088245795e-06
rev_Mean,0.0027840808657625393,0.0006408850245386288
iwylis_vce_Mean,0.0026829600729755265,6.392050113679382e-05
drop_blk_Mean,0.0026722399889300696,0.0002722421343783754
avg3mou,0.002447918230247481,0.0011324088780855224
totrev,0.0023389573759944327,0.0006215248727550193
unan_vce_Mean,0.0022983170573743217,8.168064037611389e-05
ethnic,0.0020929554473392287,0.0015478521351607322
inonemin_Mean,0.002050635115547872,0.0003760829484902861
opk_vce_Mean,0.002046155080424328,6.664052246169172e-05
totcalls,0.0019988747097462456,0.0001251209809485232
owylis_vce_Mean,0.001896793909432759,0.00032208252512699875
HHstatin,0.0018935138837173349,5.192040705598311e-05
avgrev,0.001893033879954209,0.0006044047385330709
mouiwylisv_Mean,0.0018000731511420565,0.00010360081223037554
avg3qty,0.0017183125101386532,0.0003871230350446231
recv_vce_Mean,0.001597031559295914,0.0001428011195607759
da_Mean,0.0015763913974770616,3.096024272825071e-05
custcare_Mean,0.001552231208061139,0.00010360081223037554
models,0.0015256709998291984,0.0005575243709910471
peak_vce_Mean,0.001296309201632706,0.0005204840805952404
adjmou,0.0012863891238593106,0.00019232150780063018
roam_Mean,0.0012745490310329677,0.00026976211493490165
dualband,0.0012531888635692323,0.00042024329470741195
comp_vce_Mean,0.001249668835972162,0.0004192832871809382
area,0.0012463088096295039,7.368057765577696e-05
avg3rev,0.0012441487926950212,0.00017088133970971642
marital,0.0012423887788965415,0.00018976148773003354
adjrev,0.0011958284138632314,0.00039504309713789265
truck,0.0011815083015935812,3.992031297528342e-05
cc_mou_Mean,0.0011739082420091917,0.00013488105746745083
attempt_Mean,0.0011271078750942909,0.00015448121113270652
unan_dat_Mean,0.0011261478675678172,1.8160142375545085e-05
prizm_social_one,0.0011039876938319648,0.00012384097091316937
totmou,0.0010971076398922919,0.00044848351611076476
phones,0.0010947876217034525,3.9600310466458843e-05
mou_rvce_Mean,0.0010832675313860451,5.600043903597474e-07
adjqty,0.0010520672867760927,0.00011688091634642905
mou_opkd_Mean,0.0010424672115115219,4.2640334300181326e-05
opk_dat_Mean,0.0010251070754079272,2.6880210740820587e-05
rv,0.001021427046556611,3.584028098779779e-05
hnd_webcap,0.0010211070440477865,0.0001668813083495202
drop_dat_Mean,0.0010139869882265229,1.992015617402476e-05
threeway_Mean,0.0010039069091987707,8.400065856506433e-06
datovr_Mean,0.0009955068433421532,4.3840343708301255e-05
mou_cdat_Mean,0.0009924668195084307,7.376057828295535e-05
mou_pead_Mean,0.0009876667818761176,9.23207237945034e-05
kid0_2,0.0009875867812488837,3.440026969836474e-06
callfwdv_Mean,0.0009692666376189818,0.0
infobase,0.000953586514686855,9.76007651892763e-06
kid3_5,0.000948226472664071,3.064024021942613e-05
recv_sms_Mean,0.0009455864519663515,0.00019904156048583532
avg6qty,0.0009395864049259739,0.00017960140807504743
adults,0.0009338263597671315,8.824069180701777e-05
kid11_15,0.0008920660323662455,0.00011864093014490873
actvsubs,0.0008906260210765349,0.00028776225605603445
forgntvl,0.0008849459765449819,3.3600263426025734e-06
ownrent,0.0008763059088068292,0.00022992180258696315
comp_dat_Mean,0.0008750258987715309,2.2880179380568855e-05
plcd_vce_Mean,0.0008660658285246092,1.6960132967425157e-05
vceovr_Mean,0.000863985812217305,0.000566724443119615
creditcd,0.0008553457444792079,8.800068992509402e-06
dwlltype,0.0008338255757610047,7.928062156009608e-05
complete_Mean,0.0008283855331110979,7.600059584389474e-06
callwait_Mean,0.0008219854829347728,8.584067299088893e-05
peak_dat_Mean,0.0008215854797987143,4.432034747148261e-05
kid6_10,0.0008158254346399829,3.0080235829066382e-05
blck_dat_Mean,0.0007981452960277302,4.040031673846478e-05
kid16_17,0.0007882252182542238,0.0004392834439821969
numbcars,0.0007131846299360811,5.20004076831615e-06
ccrndmou_Mean,0.0006743843257416282,2.6560208231996008e-05
new_cell,0.0006462241049655093,0.00012064094582509011
income,0.0006226239199400574,0.0005255241201090888
plcd_dat_Mean,0.0005910236721941575,1.2640099098348845e-05
blck_vce_Mean,0.0005597434269569157,5.704044719706536e-05
ovrrev_Mean,0.0005501433516924559,0.00013208103551531902
ovrmou_Mean,0.0005439833033976105,0.0001249609796941109
avg6mou,0.00051742309516567,0.00021088165331217823
dwllsize,0.00022110077199855027,0.0001011207927870128
avg6rev,0.00018238046843133127,8.448066232835671e-05
lor,-0.00038106394897280405,0.0009029670792619071
